T;join
4.25;29
4.5;29
4.75;29
5;29
5.25;29
5.5;29
5.75;29
6;29
6.25;29
6.5;29
-6.5;30
-6.25;30
-6;30
-5.75;30
-5.5;30
-5.25;30
-5;30
-4.75;30
-4.5;30
-4.25;30
-4;30
-3.75;30
-3.5;30
-3.25;30
-3;30
-2.75;30
-2.5;30
-2.25;30
-2;30
-1.75;30
-1.5;30
-1.25;30
-1;30
-0.75;30
-0.5;30
-0.25;30
0;30
0.25;30
0.5;30
0.75;30
1;30
1.25;30
1.5;30
1.75;30
2;30
2.25;30
2.5;30
2.75;30
3;30
3.25;30
3.5;30
3.75;30
4;30
4.25;30
4.5;30
4.75;30
5;30
5.25;30
5.5;30
5.75;30
6;30
6.25;30
6.5;30
-6.5;31
-6.25;31
-6;31
-5.75;31
-5.5;31
-5.25;31
-5;31
-4.75;31
-4.5;31
-4.25;31
-4;31
-3.75;31
-3.5;31
-3.25;31
-3;31
-2.75;31
-2.5;31
-2.25;31
-2;31
-1.75;31
-1.5;31
-1.25;31
-1;31
-0.75;31
-0.5;31
-0.25;31
0;31
0.25;31
0.5;31
0.75;31
1;31
1.25;31
1.5;31
1.75;31
2;31
2.25;31
2.5;31
2.75;31
3;31
3.25;31
3.5;31
3.75;31
4;31
4.25;31
4.5;31
4.75;31
5;31
5.25;31
5.5;31
5.75;31
6;31
6.25;31
6.5;31
-6.5;32
-6.25;32
-6;32
-5.75;32
-5.5;32
-5.25;32
-5;32
-4.75;32
-4.5;32
-4.25;32
-4;32
-3.75;32
-3.5;32
-3.25;32
-3;32
-2.75;32
-2.5;32
-2.25;32
-2;32
-1.75;32
-1.5;32
-1.25;32
-1;32
-0.75;32
-0.5;32
-0.25;32
0;32
0.25;32
0.5;32
0.75;32
1;32
1.25;32
1.5;32
1.75;32
2;32
2.25;32
2.5;32
2.75;32
3;32
3.25;32
3.5;32
3.75;32
4;32
4.25;32
4.5;32
4.75;32
5;32
5.25;32
5.5;32
5.75;32
6;32
6.25;32
6.5;32
-6.5;33
-6.25;33
-6;33
-5.75;33
-5.5;33
-5.25;33
-5;33
-4.75;33
-4.5;33
-4.25;33
-4;33
-3.75;33
-3.5;33
-3.25;33
-3;33
-2.75;33
-2.5;33
-2.25;33
-2;33
-1.75;33
-1.5;33
-1.25;33
-1;33
-0.75;33
-0.5;33
-0.25;33
0;33
0.25;33
0.5;33
0.75;33
1;33
1.25;33
1.5;33
1.75;33
2;33
2.25;33
2.5;33
2.75;33
3;33
3.25;33
3.5;33
3.75;33
4;33
4.25;33
4.5;33
4.75;33
5;33
5.25;33
5.5;33
5.75;33
6;33
6.25;33
6.5;33
-6.5;34
-6.25;34
-6;34
-5.75;34
-5.5;34
-5.25;34
-5;34
-4.75;34
-4.5;34
-4.25;34
-4;34
-3.75;34
-3.5;34
-3.25;34
-3;34
-2.75;34
-2.5;34
-2.25;34
-2;34
-1.75;34
-1.5;34
-1.25;34
-1;34
-0.75;34
-0.5;34
-0.25;34
0;34
0.25;34
0.5;34
0.75;34
1;34
1.25;34
1.5;34
1.75;34
2;34
2.25;34
2.5;34
2.75;34
3;34
3.25;34
3.5;34
3.75;34
4;34
4.25;34
4.5;34
4.75;34
5;34
5.25;34
5.5;34
5.75;34
6;34
6.25;34
6.5;34
-6.5;35
-6.25;35
-6;35
-5.75;35
-5.5;35
-5.25;35
-5;35
-4.75;35
-4.5;35
-4.25;35
-4;35
-3.75;35
-3.5;35
-3.25;35
-3;35
-2.75;35
-2.5;35
-2.25;35
-2;35
-1.75;35
-1.5;35
-1.25;35
-1;35
-0.75;35
-0.5;35
-0.25;35
0;35
0.25;35
0.5;35
0.75;35
1;35
1.25;35
1.5;35
1.75;35
2;35
2.25;35
2.5;35
2.75;35
3;35
3.25;35
3.5;35
3.75;35
4;35
4.25;35
4.5;35
4.75;35
5;35
5.25;35
5.5;35
5.75;35
6;35
6.25;35
6.5;35
-6.5;36
-6.25;36
-6;36
-5.75;36
-5.5;36
-5.25;36
-5;36
-4.75;36
-4.5;36
-4.25;36
-4;36
-3.75;36
-3.5;36
-3.25;36
-3;36
-2.75;36
-2.5;36
-2.25;36
-2;36
-1.75;36
-1.5;36
-1.25;36
-1;36
-0.75;36
-0.5;36
-0.25;36
0;36
0.25;36
0.5;36
0.75;36
1;36
1.25;36
1.5;36
1.75;36
2;36
2.25;36
2.5;36
2.75;36
3;36
3.25;36
3.5;36
3.75;36
4;36
4.25;36
4.5;36
4.75;36
5;36
5.25;36
5.5;36
5.75;36
6;36
6.25;36
6.5;36
-6.5;37
-6.25;37
-6;37
-5.75;37
-5.5;37
-5.25;37
-5;37
-4.75;37
-4.5;37
-4.25;37
-4;37
-3.75;37
-3.5;37
-3.25;37
-3;37
-2.75;37
-2.5;37
-2.25;37
-2;37
-1.75;37
-1.5;37
-1.25;37
-1;37
-0.75;37
-0.5;37
-0.25;37
0;37
0.25;37
0.5;37
0.75;37
1;37
1.25;37
1.5;37
1.75;37
2;37
2.25;37
2.5;37
2.75;37
3;37
3.25;37
3.5;37
3.75;37
4;37
4.25;37
4.5;37
4.75;37
5;37
5.25;37
5.5;37
5.75;37
6;37
6.25;37
6.5;37
-6.5;38
-6.25;38
-6;38
-5.75;38
-5.5;38
-5.25;38
-5;38
-4.75;38
-4.5;38
-4.25;38
-4;38
-3.75;38
-3.5;38
-3.25;38
-3;38
-2.75;38
-2.5;38
-2.25;38
-2;38
-1.75;38
-1.5;38
-1.25;38
-1;38
-0.75;38
-0.5;38
-0.25;38
0;38
0.25;38
0.5;38
0.75;38
1;38
1.25;38
1.5;38
1.75;38
2;38
2.25;38
2.5;38
2.75;38
3;38
3.25;38
3.5;38
3.75;38
4;38
4.25;38
4.5;38
4.75;38
5;38
5.25;38
5.5;38
5.75;38
6;38
6.25;38
6.5;38
-6.5;39
-6.25;39
-6;39
-5.75;39
-5.5;39
-5.25;39
-5;39
-4.75;39
-4.5;39
-4.25;39
-4;39
-3.75;39
-3.5;39
-3.25;39
-3;39
-2.75;39
-2.5;39
-2.25;39
-2;39
-1.75;39
-1.5;39
-1.25;39
-1;39
-0.75;39
-0.5;39
-0.25;39
0;39
0.25;39
0.5;39
0.75;39
1;39
1.25;39
1.5;39
1.75;39
2;39
2.25;39
2.5;39
2.75;39
3;39
3.25;39
3.5;39
3.75;39
4;39
4.25;39
4.5;39
4.75;39
5;39
5.25;39
5.5;39
5.75;39
6;39
6.25;39
6.5;39
-6.5;40
-6.25;40
-6;40
-5.75;40
-5.5;40
-5.25;40
-5;40
-4.75;40
-4.5;40
-4.25;40
-4;40
-3.75;40
-3.5;40
-3.25;40
-3;40
-2.75;40
-2.5;40
-2.25;40
-2;40
-1.75;40
-1.5;40
-1.25;40
-1;40
-0.75;40
-0.5;40
-0.25;40
0;40
0.25;40
0.5;40
0.75;40
1;40
1.25;40
1.5;40
1.75;40
2;40
2.25;40
2.5;40
2.75;40
3;40
3.25;40
3.5;40
3.75;40
4;40
4.25;40
4.5;40
4.75;40
5;40
5.25;40
5.5;40
5.75;40
6;40
6.25;40
6.5;40
-6.5;41
-6.25;41
-6;41
-5.75;41
-5.5;41
-5.25;41
-5;41
-4.75;41
-4.5;41
-4.25;41
-4;41
-3.75;41
-3.5;41
-3.25;41
-3;41
-2.75;41
-2.5;41
-2.25;41
-2;41
-1.75;41
-1.5;41
-1.25;41
-1;41
-0.75;41
-0.5;41
-0.25;41
0;41
0.25;41
0.5;41
0.75;41
1;41
1.25;41
1.5;41
1.75;41
2;41
2.25;41
2.5;41
2.75;41
3;41
3.25;41
3.5;41
3.75;41
4;41
4.25;41
4.5;41
4.75;41
5;41
5.25;41
5.5;41
5.75;41
6;41
6.25;41
6.5;41
-6.5;42
-6.25;42
-6;42
-5.75;42
-5.5;42
-5.25;42
-5;42
-4.75;42
-4.5;42
-4.25;42
-4;42
-3.75;42
-3.5;42
-3.25;42
-3;42
-2.75;42
-2.5;42
-2.25;42
-2;42
-1.75;42
-1.5;42
-1.25;42
-1;42
-0.75;42
-0.5;42
-0.25;42
0;42
0.25;42
0.5;42
0.75;42
1;42
1.25;42
1.5;42
1.75;42
2;42
2.25;42
2.5;42
2.75;42
3;42
3.25;42
3.5;42
3.75;42
4;42
4.25;42
4.5;42
4.75;42
5;42
5.25;42
5.5;42
5.75;42
6;42
6.25;42
6.5;42
-6.5;43
-6.25;43
-6;43
-5.75;43
-5.5;43
-5.25;43
-5;43
-4.75;43
-4.5;43
-4.25;43
-4;43
-3.75;43
-3.5;43
-3.25;43
-3;43
-2.75;43
-2.5;43
-2.25;43
-2;43
-1.75;43
-1.5;43
-1.25;43
-1;43
-0.75;43
-0.5;43
-0.25;43
0;43
0.25;43
0.5;43
0.75;43
1;43
1.25;43
1.5;43
1.75;43
2;43
2.25;43
2.5;43
2.75;43
3;43
3.25;43
3.5;43
3.75;43
4;43
4.25;43
4.5;43
4.75;43
5;43
5.25;43
5.5;43
5.75;43
6;43
6.25;43
6.5;43
-6.5;44
-6.25;44
-6;44
-5.75;44
-5.5;44
-5.25;44
-5;44
-4.75;44
-4.5;44
-4.25;44
-4;44
-3.75;44
-3.5;44
-3.25;44
-3;44
-2.75;44
-2.5;44
-2.25;44
-2;44
-1.75;44
-1.5;44
-1.25;44
-1;44
-0.75;44
-0.5;44
-0.25;44
0;44
0.25;44
0.5;44
0.75;44
1;44
1.25;44
1.5;44
1.75;44
2;44
2.25;44
2.5;44
2.75;44
3;44
3.25;44
3.5;44
3.75;44
4;44
4.25;44
4.5;44
4.75;44
5;44
5.25;44
5.5;44
5.75;44
6;44
